_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
68,34,Jack Edwards,9,Contact Lens Disinfecting Solution,Eye Care,wallet,4,22.99,2024-05-18T08:39:30.000-07:00,Australia,Perth,www.pillpack.com,71990914,1,payment successful
69,34,Jack Edwards,147,Groin Support,Supports and Braces,upi,9,13.99,2024-12-13T01:13:57.000-08:00,Australia,Perth,www.walgreens.com,30419275,1,payment successful
70,39,Zoe Rogers,145,Posture Corrector,Supports and Braces,card,6,14.99,2024-09-28T06:25:02.000-07:00,Netherlands,The Hague,www.amazon.com/pharmacy,43946441,1,payment successful
71,34,Jack Edwards,92,Throat Spray,"Cough, Cold, and Flu",wallet,9,4.99,2024-12-03T09:24:08.000-08:00,Australia,Perth,www.mysmartpharmacy.com,90373807,1,payment successful
72,22,Alexander Baker,69,Incontinence Liners,Incontinence,card,1,7.99,2024-09-23T14:04:50.000-07:00,Canada,Montreal,www.walgreens.com,40701314,1,payment successful
73,41,Abigail Cook,146,Hernia Belt,Supports and Braces,card,1,24.99,2024-12-17T13:55:44.000-08:00,United States of America,Phoenix,www.1mg.com,15978713,1,payment successful
74,1,John Doe,48,Shaving Gel,Shaving and Grooming,wallet,1,3.49,2024-12-28T22:29:33.000-08:00,United States of America,New York,www.pillpack.com,70451024,0,bank refused to authorize transaction
75,38,Mason Morris,45,Shaving Brush,Shaving and Grooming,card,4,7.99,2024-12-21T03:12:31.000-08:00,Italy,Turin,www.amazon.com/pharmacy,38488071,1,payment successful
76,21,Harper Adams,127,Insulin Syringes,Diabetes Management,card,2,19.99,2024-07-11T18:47:26.000-07:00,United States of America,Chicago,www.chemistwarehouse.com.au,42648811,1,payment successful
77,16,Noah Allen,59,Hearing Aid Clips,Hearing Devices and Amplifiers,card,1,590.0,2024-12-07T05:05:04.000-08:00,France,Lyon,www.goodrx.com,31449244,1,payment successful
78,11,Mia Harris,23,Hair Gel,Hair Care,card,2,4.99,2024-03-13T22:31:58.000-07:00,United States of America,Los Angeles,www.goodrx.com,90113540,1,payment successful
79,24,Daniel Nelson,121,Nicotine Lozenges,Stop Smoking,card,6,19.99,2024-08-29T03:30:51.000-07:00,Australia,Brisbane,www.healthmart.com,82428767,1,payment successful
80,19,Amelia Scott,31,Foot Cream,Foot Care,wallet,3,8.99,2024-12-04T07:57:37.000-08:00,Netherlands,Rotterdam,www.medicalnewstoday.com/pharmacy,49307132,1,payment successful
81,8,James Anderson,147,Groin Support,Supports and Braces,wallet,2,13.99,2024-02-15T20:41:26.000-08:00,Italy,Rome,www.walgreens.com,22817464,1,payment successful
82,32,Aiden Parker,19,Orthodontic Wax,Oral Care,wallet,8,1.99,2024-07-31T17:52:54.000-07:00,Canada,Calgary,www.alldaychemist.com,42400981,1,payment successful
83,27,Victoria Perez,44,Beard Oil,Shaving and Grooming,wallet,4,6.99,2024-12-28T09:06:35.000-08:00,Spain,Seville,www.britishpharmacy.co.uk,62499284,0,payment method not accepted at merchant
84,29,Aria Turner,102,Antiseptic Wipes,First Aid,card,7,2.99,2024-12-06T23:48:38.000-08:00,Netherlands,Utrecht,www.walmart.com/pharmacy,14511927,1,payment successful
85,39,Zoe Rogers,103,Gauze Pads,First Aid,wallet,4,4.99,2024-12-14T07:27:20.000-08:00,Netherlands,The Hague,www.walgreens.com,62522403,1,payment successful
86,5,Emily Davis,2,Lubricating Eye Drops,Eye Care,wallet,4,9.99,2024-08-09T23:19:32.000-07:00,Germany,Berlin,www.amazon.com/pharmacy,87621033,1,payment successful
87,2,Jane Smith,106,Antibiotic Ointment,First Aid,wallet,6,6.99,2024-12-08T22:42:06.000-08:00,Canada,Toronto,www.walgreens.com,13523298,1,payment successful
88,45,Avery Bailey,148,Neck Brace,Supports and Braces,card,9,16.99,2024-05-31T21:41:19.000-07:00,Germany,Cologne,www.chemistwarehouse.com.au,39667789,1,payment successful
89,5,Emily Davis,143,Plantar Fasciitis Sleeve,Supports and Braces,wallet,3,11.99,2024-12-27T10:33:53.000-08:00,Germany,Berlin,www.chemistwarehouse.com.au,10363391,1,payment successful
90,27,Victoria Perez,135,Shoulder Support,Supports and Braces,card,8,14.99,2024-08-14T10:47:50.000-07:00,Spain,Seville,www.goodrx.com,26965260,0,card expired
91,11,Mia Harris,55,Hearing Aid Domes,Hearing Devices and Amplifiers,internet banking,1,550.0,2024-02-06T13:26:25.000-08:00,United States of America,Los Angeles,www.walgreens.com,77611346,1,payment successful
92,2,Jane Smith,39,Foot Deodorant,Foot Care,card,3,6.49,2024-09-05T04:05:41.000-07:00,Canada,Toronto,www.walgreens.com,96387162,1,payment successful
93,14,Liam Walker,29,Dry Shampoo,Hair Care,upi,2,6.49,2024-07-02T01:54:31.000-07:00,Australia,Melbourne,www.pharmacytimes.com,35635614,1,payment successful
94,2,Jane Smith,141,Heel Cups,Supports and Braces,card,1,7.99,2024-03-30T17:17:50.000-07:00,Canada,Toronto,www.expresspharmacy.co.uk,66002855,0,payment method not accepted at merchant
95,8,James Anderson,89,Cough Drops,"Cough, Cold, and Flu",wallet,9,3.99,2024-10-03T20:23:29.000-07:00,Italy,Rome,www.healthmart.com,25921642,1,payment successful
96,36,Samuel Stewart,18,Tongue Cleaner,Oral Care,wallet,3,2.49,2024-10-19T16:05:14.000-07:00,France,Toulouse,www.cvs.com,46715350,1,payment successful
97,22,Alexander Baker,66,Adult Diapers,Incontinence,wallet,8,12.99,2024-02-21T02:07:57.000-08:00,Canada,Montreal,www.walgreens.com,67713039,1,payment successful
98,34,Jack Edwards,112,Anti-Nausea Liquid,Digestive Health and Nausea,internet banking,5,8.99,2024-12-02T14:13:31.000-08:00,Australia,Perth,www.pillpack.com,57275043,1,payment successful
99,25,Grace Carter,70,Incontinence Wipes,Incontinence,card,9,5.99,2024-12-27T07:27:26.000-08:00,Germany,Frankfurt,www.cvs.com,48022825,1,payment successful
100,30,Matthew Phillips,24,Hair Spray,Hair Care,wallet,5,7.99,2024-01-31T07:39:47.000-08:00,Japan,Kyoto,www.britishpharmacy.co.uk,80697812,0,insufficient credit
101,15,Isabella Hall,120,Nicotine Patches,Stop Smoking,wallet,5,29.99,2024-10-26T09:08:08.000-07:00,Germany,Munich,www.pharmacytimes.com,81730565,1,payment successful
102,11,Mia Harris,132,Wrist Brace,Supports and Braces,wallet,1,10.99,2024-12-15T05:54:08.000-08:00,United States of America,Los Angeles,www.goodrx.com,32273827,1,payment successful
103,17,Charlotte Young,110,Antacid Tablets,Digestive Health and Nausea,wallet,7,4.99,2024-11-26T16:46:15.000-08:00,Spain,Barcelona,www.amazon.com/pharmacy,84575835,1,payment successful
104,17,Charlotte Young,108,Digestive Enzymes,Digestive Health and Nausea,wallet,1,14.99,2024-12-24T10:05:36.000-08:00,Spain,Barcelona,www.chemistdirect.co.uk,28225870,1,payment successful
105,29,Aria Turner,95,Vapor Inhaler,"Cough, Cold, and Flu",wallet,1,4.49,2024-09-02T07:02:31.000-07:00,Netherlands,Utrecht,www.walmart.com/pharmacy,16838349,1,payment successful
106,39,Zoe Rogers,46,Electric Shaver,Shaving and Grooming,upi,7,29.99,2024-12-26T17:31:41.000-08:00,Netherlands,The Hague,www.cvs.com,52449467,1,payment successful
107,39,Zoe Rogers,81,Ear Drops,"Ear, Nose, and Throat Care",wallet,9,8.99,2024-06-03T04:14:46.000-07:00,Netherlands,The Hague,www.medicalnewstoday.com/pharmacy,72854130,1,payment successful
108,5,Emily Davis,64,Sunscreen Spray,Sun Care,wallet,8,14.99,2024-12-23T08:34:44.000-08:00,Germany,Berlin,www.walgreens.com,38243028,1,payment successful
109,48,Luke Richardson,86,Cough Syrup,"Cough, Cold, and Flu",wallet,5,8.99,2024-09-26T05:28:34.000-07:00,Italy,Florence,www.cvs.com,18576459,1,payment successful
110,35,Chloe Collins,94,Cold and Flu Tea,"Cough, Cold, and Flu",wallet,6,5.49,2024-01-28T03:02:19.000-08:00,Germany,Hamburg,www.chemistdirect.co.uk,45734829,1,payment successful
111,25,Grace Carter,143,Plantar Fasciitis Sleeve,Supports and Braces,card,1,11.99,2024-01-23T04:49:43.000-08:00,Germany,Frankfurt,www.alldaychemist.com,68219872,1,payment successful
112,20,Benjamin Green,72,Tampons,Feminine Care,internet banking,7,6.99,2024-11-10T21:00:13.000-08:00,Japan,Osaka,www.britishpharmacy.co.uk,37758355,1,payment successful
113,21,Harper Adams,131,Ankle Support,Supports and Braces,internet banking,5,12.99,2024-02-12T17:09:56.000-08:00,United States of America,Chicago,www.chemistwarehouse.com.au,16751636,1,payment successful
114,16,Noah Allen,98,Pain Relief Spray,Pain Relief and Management,wallet,4,9.99,2024-09-22T16:03:32.000-07:00,France,Lyon,www.chemistwarehouse.com.au,69404195,1,payment successful
115,1,John Doe,3,Eye Itch Relief Pills,Eye Care,wallet,5,24.99,2024-09-22T08:28:38.000-07:00,United States of America,New York,www.walgreens.com,81923365,1,payment successful
116,38,Mason Morris,79,Body Butter,Bath and Body,wallet,6,8.99,2024-06-05T22:50:29.000-07:00,Italy,Turin,www.1mg.com,60037610,0,payment method not accepted at merchant
117,5,Emily Davis,33,Foot Spray,Foot Care,wallet,4,7.49,2024-04-20T22:24:57.000-07:00,Germany,Berlin,www.drugstore.com,46637270,1,payment successful
118,2,Jane Smith,125,Acne Treatment Gel,Skin Ailments,wallet,2,8.99,2024-12-12T02:31:06.000-08:00,Canada,Toronto,www.chemistdirect.co.uk,42637300,1,payment successful
119,30,Matthew Phillips,150,Hip Support,Supports and Braces,card,8,17.99,2024-12-13T22:53:37.000-08:00,Japan,Kyoto,www.cvs.com,98287641,1,payment successful
120,24,Daniel Nelson,66,Adult Diapers,Incontinence,wallet,2,12.99,2024-07-28T09:41:43.000-07:00,Australia,Brisbane,www.1mg.com,21028960,1,payment successful
121,2,ROGUEROGUE,54,Hearing Aid Cleaning Kit,"",card,9,540.0,2024-11-08T18:16:01.000-08:00,XXXXXXXX,Toronto,www.safeway.com/pharmacy,78613910,1,----////----
122,25,Grace Carter,35,Foot Soak,Foot Care,wallet,7,4.99,2024-09-14T20:42:51.000-07:00,Germany,Frankfurt,www.walgreens.com,89393854,1,payment successful
123,23,Evelyn Gonzalez,122,Skin Rash Cream,Skin Ailments,card,4,7.99,2024-01-08T08:23:42.000-08:00,United Kingdom,Birmingham,www.pillpack.com,78162185,1,payment successful
124,2,Jane Smith,33,Foot Spray,Foot Care,card,9,7.49,2024-12-19T03:09:37.000-08:00,Canada,Toronto,www.pillpack.com,55669083,1,payment successful
125,48,Luke Richardson,92,Throat Spray,"Cough, Cold, and Flu",wallet,8,4.99,2024-07-29T15:01:40.000-07:00,Italy,Florence,www.mysmartpharmacy.com,20177544,0,insufficient funds
126,24,Daniel Nelson,63,Sunburn Relief Spray,Sun Care,wallet,7,9.99,2024-07-29T21:12:15.000-07:00,Australia,Brisbane,www.chemistdirect.co.uk,33148352,1,payment successful
127,22,Alexander Baker,67,Incontinence Pads,Incontinence,card,9,8.99,2024-04-05T20:27:58.000-07:00,Canada,Montreal,www.expresspharmacy.co.uk,50091512,1,payment successful
128,31,Ella Campbell,35,Foot Soak,Foot Care,upi,3,4.99,2024-09-08T16:12:39.000-07:00,United States of America,Houston,www.britishpharmacy.co.uk,91665103,1,payment successful
129,33,Scarlett Evans,18,Tongue Cleaner,Oral Care,wallet,7,2.49,2024-12-04T10:05:40.000-08:00,United Kingdom,Liverpool,www.1mg.com,14976651,1,payment successful
130,34,Jack Edwards,31,Foot Cream,Foot Care,upi,8,8.99,2024-04-06T08:24:09.000-07:00,Australia,Perth,www.walgreens.com,47886277,0,insufficient funds
131,30,Matthew Phillips,135,Shoulder Support,Supports and Braces,internet banking,6,14.99,2024-12-16T15:40:15.000-08:00,Japan,Kyoto,www.walgreens.com,76028822,1,payment successful
132,21,Harper Adams,20,Interdental Brushes,Oral Care,wallet,7,4.49,2024-01-18T16:23:32.000-08:00,United States of America,Chicago,www.safeway.com/pharmacy,97633210,1,payment successful
133,27,Victoria Perez,57,Hearing Aid Wax Guards,Hearing Devices and Amplifiers,internet banking,5,570.0,2024-07-24T08:56:06.000-07:00,Spain,Seville,www.iherb.com,67913656,1,payment successful
134,26,Henry Mitchell,73,Panty Liners,Feminine Care,internet banking,7,4.99,2024-10-19T10:26:03.000-07:00,France,Marseille,www.expresspharmacy.co.uk,22429318,1,payment successful
135,12,Ethan Clark,68,Bed Protection Underpads,Incontinence,card,9,15.99,2024-12-10T09:59:41.000-08:00,Canada,Vancouver,www.walgreens.com,77931880,1,payment successful
136,50,Gabriel Howard,62,After Sun Gel,Sun Care,card,1,12.99,2024-04-11T14:44:56.000-07:00,Japan,Fukuoka,www.walmart.com/pharmacy,16430647,1,payment successful
137,31,Ella Campbell,101,Adhesive Bandages,First Aid,wallet,2,3.99,2024-12-24T17:02:25.000-08:00,United States of America,Houston,www.safeway.com/pharmacy,88886459,1,payment successful
138,20,Benjamin Green,145,Posture Corrector,Supports and Braces,wallet,9,14.99,2024-11-14T08:08:55.000-08:00,Japan,Osaka,www.healthmart.com,96963917,1,payment successful
139,26,Henry Mitchell,148,Neck Brace,Supports and Braces,internet banking,4,16.99,2024-09-23T04:16:13.000-07:00,France,Marseille,www.chemistwarehouse.com.au,72229793,1,payment successful
140,24,Daniel Nelson,64,Sunscreen Spray,Sun Care,wallet,2,14.99,2024-12-08T07:45:32.000-08:00,Australia,Brisbane,www.iherb.com,95912806,1,payment successful
141,12,Ethan Clark,108,Digestive Enzymes,Digestive Health and Nausea,wallet,5,14.99,2024-04-23T13:02:45.000-07:00,Canada,Vancouver,www.chemistdirect.co.uk,46251891,1,payment successful
142,30,Matthew Phillips,115,Blood Pressure Monitor,Home Tests and Monitoring,card,9,29.99,2024-05-18T18:26:38.000-07:00,Japan,Kyoto,www.walgreens.com,37236447,1,payment successful
143,4,Michael Brown,101,Adhesive Bandages,First Aid,wallet,9,3.99,2024-11-18T18:01:31.000-08:00,Australia,Sydney,www.cvs.com,58916686,1,payment successful
144,28,Sebastian Roberts,138,Calf Support,Supports and Braces,wallet,2,9.99,2024-03-13T03:34:39.000-07:00,Italy,Naples,www.walgreens.com,12363927,0,bank refused to authorize transaction
145,37,Lily Sanchez,113,Stool Softener,Digestive Health and Nausea,wallet,8,5.99,2024-09-19T22:29:44.000-07:00,Spain,Valencia,www.goodrx.com,18492983,1,payment successful
146,50,Gabriel Howard,21,Shampoo,Hair Care,card,7,5.99,2024-11-17T09:02:05.000-08:00,Japan,Fukuoka,www.walgreens.com,84749584,1,payment successful
147,20,Benjamin Green,118,Cholesterol Test Kit,Home Tests and Monitoring,wallet,6,19.99,2024-04-09T09:14:18.000-07:00,Japan,Osaka,www.walgreens.com,13031455,1,payment successful
148,37,Lily Sanchez,139,Compression Socks,Supports and Braces,card,5,12.99,2024-08-31T11:26:22.000-07:00,Spain,Valencia,www.goodrx.com,67014919,1,payment successful
149,44,Jackson Murphy,67,Incontinence Pads,Incontinence,wallet,5,8.99,2024-10-09T03:20:03.000-07:00,Australia,Adelaide,www.1mg.com,68172613,1,payment successful
150,46,Dylan Rivera,129,Glucose Tablets,Diabetes Management,wallet,9,4.99,2024-12-22T06:01:12.000-08:00,France,Nice,www.1mg.com,87989643,1,payment successful
151,10,Lucas Taylor,4,Allergy Relief Eye Drops,Eye Care,card,3,7.99,2024-06-07T03:56:37.000-07:00,Japan,Tokyo,www.cvs.com,98180495,1,payment successful
152,13,Ava Lewis,138,Calf Support,Supports and Braces,wallet,5,9.99,2024-03-03T02:48:20.000-08:00,United Kingdom,Manchester,www.healthmart.com,41180948,1,payment successful
