_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
32,32,Aiden Parker,142,Arch Support,Supports and Braces,upi,4,6.99,2024-12-05T07:55:47.000-08:00,Canada,Calgary,www.pillpack.com,25484865,1,payment successful
33,20,Benjamin Green,144,Maternity Support Belt,Supports and Braces,internet banking,4,19.99,2024-11-27T19:16:57.000-08:00,Japan,Osaka,www.walgreens.com,78910418,1,payment successful
34,44,Jackson Murphy,108,Digestive Enzymes,Digestive Health and Nausea,card,4,14.99,2024-11-07T08:53:30.000-08:00,Australia,Adelaide,www.amazon.com/pharmacy,23830791,1,payment successful
35,38,Mason Morris,139,Compression Socks,Supports and Braces,card,2,12.99,2024-07-08T13:39:08.000-07:00,Italy,Turin,www.1mg.com,94731172,0,insufficient credit
36,43,Sofia Bell,137,Thumb Brace,Supports and Braces,wallet,8,8.99,2024-02-23T01:04:09.000-08:00,United Kingdom,Leeds,www.expresspharmacy.co.uk,88321930,0,bank refused to authorize transaction
37,26,Henry Mitchell,5,Eye Patch,Eye Care,wallet,1,6.99,2024-03-04T16:12:02.000-08:00,France,Marseille,www.britishpharmacy.co.uk,78508493,1,payment successful
38,49,Hannah Cox,26,Hair Serum,Hair Care,wallet,6,9.99,2024-08-07T00:57:08.000-07:00,Netherlands,Eindhoven,www.healthmart.com,19645172,1,payment successful
39,43,Sofia Bell,130,Knee Brace,Supports and Braces,internet banking,6,15.99,2024-01-04T06:52:15.000-08:00,United Kingdom,Leeds,www.mysmartpharmacy.com,56162703,1,payment successful
40,14,Liam Walker,135,Shoulder Support,Supports and Braces,wallet,5,14.99,2024-12-10T14:39:12.000-08:00,Australia,Melbourne,www.walgreens.com,44204529,1,payment successful
41,30,Matthew Phillips,137,Thumb Brace,Supports and Braces,wallet,9,8.99,2024-03-14T06:16:16.000-07:00,Japan,Kyoto,www.healthmart.com,82856180,1,payment successful
42,6,David Wilson,142,Arch Support,Supports and Braces,internet banking,5,6.99,2024-12-25T17:08:43.000-08:00,France,Paris,www.healthmart.com,78716809,1,payment successful
43,7,Sophia Martinez,102,Antiseptic Wipes,First Aid,upi,3,2.99,2024-03-03T10:16:58.000-08:00,Spain,Madrid,www.cvs.com,96414124,1,payment successful
44,32,Aiden Parker,2,Lubricating Eye Drops,Eye Care,wallet,9,9.99,2024-11-19T03:13:29.000-08:00,Canada,Calgary,www.safeway.com/pharmacy,65440085,1,payment successful
45,18,William King,136,Finger Splint,Supports and Braces,upi,8,6.99,2024-01-15T20:50:32.000-08:00,Italy,Milan,www.iherb.com,76835793,0,insufficient credit
46,20,Benjamin Green,117,Ovulation Test,Home Tests and Monitoring,wallet,3,14.99,2024-12-23T11:51:03.000-08:00,Japan,Osaka,www.cvs.com,33284680,1,payment successful
47,33,Scarlett Evans,101,Adhesive Bandages,First Aid,card,1,3.99,2024-08-19T11:35:24.000-07:00,United Kingdom,Liverpool,www.mysmartpharmacy.com,69780817,1,payment successful
48,50,Gabriel Howard,64,Sunscreen Spray,Sun Care,card,5,14.99,2024-01-26T02:05:51.000-08:00,Japan,Fukuoka,www.pillpack.com,82688083,1,payment successful
49,3,Alice Johnson,66,Adult Diapers,Incontinence,card,3,12.99,2024-12-04T17:04:05.000-08:00,United Kingdom,London,www.goodrx.com,19270243,1,payment successful
50,29,Aria Turner,130,Knee Brace,Supports and Braces,card,5,15.99,2024-12-07T09:40:21.000-08:00,Netherlands,Utrecht,www.1mg.com,25881721,1,payment successful
51,49,Hannah Cox,112,Anti-Nausea Liquid,Digestive Health and Nausea,wallet,1,8.99,2024-04-30T16:43:29.000-07:00,Netherlands,Eindhoven,www.cvs.com,95130275,1,payment successful
52,4,Michael Brown,34,Foot Scrub,Foot Care,wallet,7,6.99,2024-05-16T11:49:54.000-07:00,Australia,Sydney,www.walgreens.com,37320315,1,payment successful
53,9,Olivia Thomas,98,Pain Relief Spray,Pain Relief and Management,wallet,4,9.99,2024-10-31T04:45:33.000-07:00,Netherlands,Amsterdam,www.chemistdirect.co.uk,45995621,1,payment successful
54,39,Zoe Rogers,93,Cough Suppressant,"Cough, Cold, and Flu",wallet,7,7.49,2024-03-19T07:01:09.000-07:00,Netherlands,The Hague,www.expresspharmacy.co.uk,92923047,0,bank refused to authorize transaction
55,15,Isabella Hall,17,Dental Picks,Oral Care,wallet,9,3.99,2024-11-18T01:17:22.000-08:00,Germany,Munich,www.expresspharmacy.co.uk,67959611,1,payment successful
56,50,ROGUEROGUE,97,Pain Relief Patch,XXXXXXXX,wallet,9,14.99,2024-12-22T19:38:18.000-08:00,----////----,Fukuoka,www.medicalnewstoday.com/pharmacy,93354863,1,----////----
57,23,Evelyn Gonzalez,79,Body Butter,Bath and Body,wallet,9,8.99,2024-08-29T06:44:03.000-07:00,United Kingdom,Birmingham,www.pharmacytimes.com,72163139,1,payment successful
58,45,Avery Bailey,34,Foot Scrub,Foot Care,wallet,1,6.99,2024-03-15T04:23:11.000-07:00,Germany,Cologne,www.iherb.com,77492077,1,payment successful
59,17,Charlotte Young,34,Foot Scrub,Foot Care,card,9,6.99,2024-12-10T01:10:21.000-08:00,Spain,Barcelona,www.1mg.com,81936408,1,payment successful
60,32,Aiden Parker,118,Cholesterol Test Kit,Home Tests and Monitoring,wallet,1,19.99,2024-04-13T09:08:32.000-07:00,Canada,Calgary,www.cvs.com,53073534,1,payment successful
61,39,Zoe Rogers,66,Adult Diapers,Incontinence,upi,7,12.99,2024-03-16T15:26:55.000-07:00,Netherlands,The Hague,www.walgreens.com,52072189,1,payment successful
62,11,Mia Harris,52,Hearing Amplifier,Hearing Devices and Amplifiers,card,8,520.0,2024-04-08T11:45:42.000-07:00,United States of America,Los Angeles,www.chemistdirect.co.uk,37289708,1,payment successful
63,46,Dylan Rivera,128,Lancets,Diabetes Management,wallet,3,14.99,2024-05-09T07:33:52.000-07:00,France,Nice,www.walgreens.com,75919450,1,payment successful
64,2,Jane Smith,95,Vapor Inhaler,"Cough, Cold, and Flu",card,4,4.49,2024-11-24T12:27:30.000-08:00,Canada,Toronto,www.chemistwarehouse.com.au,55955456,1,payment successful
65,24,Daniel Nelson,5,Eye Patch,Eye Care,wallet,4,6.99,2024-12-12T13:18:06.000-08:00,Australia,Brisbane,www.britishpharmacy.co.uk,16813038,1,payment successful
66,4,Michael Brown,66,Adult Diapers,Incontinence,card,1,12.99,2024-05-20T03:19:13.000-07:00,Australia,Sydney,www.walgreens.com,41625957,1,payment successful
67,14,Liam Walker,130,Knee Brace,Supports and Braces,card,9,15.99,2024-12-24T18:35:29.000-08:00,Australia,Melbourne,www.medicalnewstoday.com/pharmacy,63656208,1,payment successful
68,31,Ella Campbell,5,Eye Patch,Eye Care,wallet,1,6.99,2024-06-10T09:01:43.000-07:00,United States of America,Houston,www.expresspharmacy.co.uk,50119267,1,payment successful
69,29,Aria Turner,32,Foot Powder,Foot Care,internet banking,3,5.99,2024-01-07T15:57:28.000-08:00,Netherlands,Utrecht,www.walmart.com/pharmacy,68532008,1,payment successful
70,34,Jack Edwards,134,Back Support Belt,Supports and Braces,wallet,3,19.99,2024-08-21T18:02:25.000-07:00,Australia,Perth,www.cvs.com,47770088,1,payment successful
71,43,Sofia Bell,114,Pregnancy Test,Home Tests and Monitoring,card,4,12.99,2024-10-27T19:59:07.000-07:00,United Kingdom,Leeds,www.walgreens.com,75825912,1,payment successful
72,39,Zoe Rogers,128,Lancets,Diabetes Management,card,3,14.99,2024-04-25T10:43:06.000-07:00,Netherlands,The Hague,www.cvs.com,71825249,1,payment successful
73,14,Liam Walker,59,Hearing Aid Clips,Hearing Devices and Amplifiers,wallet,7,590.0,2024-10-20T21:21:42.000-07:00,Australia,Melbourne,www.safeway.com/pharmacy,45239829,1,payment successful
74,15,Isabella Hall,108,Digestive Enzymes,Digestive Health and Nausea,card,2,14.99,2024-09-09T10:11:16.000-07:00,Germany,Munich,www.britishpharmacy.co.uk,96881123,1,payment successful
75,42,Elijah Morgan,33,Foot Spray,Foot Care,wallet,3,7.49,2024-12-07T05:49:01.000-08:00,Canada,Ottawa,www.riteaid.com,10984898,1,payment successful
76,46,Dylan Rivera,96,Pain Relief Cream,Pain Relief and Management,wallet,1,12.99,2024-09-27T19:58:04.000-07:00,France,Nice,www.amazon.com/pharmacy,88374414,1,payment successful
77,12,Ethan Clark,9,Contact Lens Disinfecting Solution,Eye Care,wallet,9,22.99,2024-04-02T07:29:05.000-07:00,Canada,Vancouver,www.cvs.com,26575334,1,payment successful
78,44,Jackson Murphy,76,Body Wash,Bath and Body,wallet,8,5.99,2024-09-10T02:55:26.000-07:00,Australia,Adelaide,www.iherb.com,88400519,1,payment successful
79,41,Abigail Cook,134,Back Support Belt,Supports and Braces,upi,5,19.99,2024-01-07T21:42:05.000-08:00,United States of America,Phoenix,www.safeway.com/pharmacy,35670365,1,payment successful
80,17,Charlotte Young,96,Pain Relief Cream,Pain Relief and Management,wallet,2,12.99,2024-07-12T15:52:51.000-07:00,Spain,Barcelona,www.mysmartpharmacy.com,98830582,1,payment successful
81,50,Gabriel Howard,52,Hearing Amplifier,Hearing Devices and Amplifiers,internet banking,9,520.0,2024-07-19T19:26:24.000-07:00,Japan,Fukuoka,www.britishpharmacy.co.uk,43229017,1,payment successful
82,48,"",70,Incontinence Wipes,----////----,wallet,2,5.99,2024-11-12T16:27:55.000-08:00,ROGUEROGUE,Florence,www.mysmartpharmacy.com,30891268,1,ROGUEROGUE
83,16,Noah Allen,28,Hair Mask,Hair Care,wallet,3,12.99,2024-11-08T16:47:50.000-08:00,France,Lyon,www.mysmartpharmacy.com,78055224,1,payment successful
84,31,Ella Campbell,22,Conditioner,Hair Care,upi,3,6.99,2024-01-16T03:41:31.000-08:00,United States of America,Houston,www.alldaychemist.com,26277612,1,payment successful
85,36,Samuel Stewart,44,Beard Oil,Shaving and Grooming,wallet,4,6.99,2024-05-30T08:04:32.000-07:00,France,Toulouse,www.walgreens.com,46050177,1,payment successful
86,35,Chloe Collins,142,Arch Support,Supports and Braces,card,8,6.99,2024-12-05T16:33:19.000-08:00,Germany,Hamburg,www.walgreens.com,40721946,1,payment successful
87,12,Ethan Clark,82,Nasal Spray,"Ear, Nose, and Throat Care",internet banking,3,7.99,2024-08-03T20:31:26.000-07:00,Canada,Vancouver,www.walgreens.com,81856198,1,payment successful
88,37,Lily Sanchez,103,Gauze Pads,First Aid,wallet,4,4.99,2024-06-26T08:46:57.000-07:00,Spain,Valencia,www.safeway.com/pharmacy,88415134,0,payment method not accepted at merchant
89,40,Logan Reed,73,Panty Liners,Feminine Care,wallet,4,4.99,2024-10-23T19:31:26.000-07:00,Japan,Nagoya,www.walgreens.com,55480588,1,payment successful
90,31,Ella Campbell,96,Pain Relief Cream,Pain Relief and Management,wallet,7,12.99,2024-10-18T08:34:04.000-07:00,United States of America,Houston,www.mysmartpharmacy.com,15374595,1,payment successful
91,35,Chloe Collins,1,Redness Eye Drops,Eye Care,wallet,4,6.3,2024-12-15T14:35:47.000-08:00,Germany,Hamburg,www.walgreens.com,49058854,1,payment successful
92,30,Matthew Phillips,112,Anti-Nausea Liquid,Digestive Health and Nausea,wallet,2,8.99,2024-06-19T13:49:25.000-07:00,Japan,Kyoto,www.cvs.com,55877248,0,bank refused to authorize transaction
93,25,Grace Carter,14,Dental Floss,Oral Care,wallet,4,2.79,2024-11-13T15:14:12.000-08:00,Germany,Frankfurt,www.drugstore.com,59762767,1,payment successful
94,15,Isabella Hall,25,Hair Mousse,Hair Care,card,2,8.99,2024-09-20T06:58:33.000-07:00,Germany,Munich,www.riteaid.com,30653895,1,payment successful
95,1,John Doe,49,Pre-Shave Oil,Shaving and Grooming,wallet,9,8.99,2024-10-11T18:08:58.000-07:00,United States of America,New York,www.chemistdirect.co.uk,42778171,1,payment successful
96,19,Amelia Scott,125,Acne Treatment Gel,Skin Ailments,wallet,4,8.99,2024-08-12T21:17:24.000-07:00,Netherlands,Rotterdam,www.pharmacytimes.com,43980417,1,payment successful
97,34,Jack Edwards,44,Beard Oil,Shaving and Grooming,wallet,2,6.99,2024-06-13T04:05:50.000-07:00,Australia,Perth,www.cvs.com,87311610,1,payment successful
98,44,Jackson Murphy,129,Glucose Tablets,Diabetes Management,wallet,7,4.99,2024-09-19T08:11:24.000-07:00,Australia,Adelaide,www.walgreens.com,39035508,1,payment successful
99,46,Dylan Rivera,17,Dental Picks,Oral Care,wallet,4,3.99,2024-10-01T07:12:54.000-07:00,France,Nice,www.chemistwarehouse.com.au,74898264,1,payment successful
100,1,XXXXXXXX,67,Incontinence Pads,ROGUEROGUE,wallet,3,8.99,2024-06-23T08:44:16.000-07:00,----////----,New York,www.walgreens.com,80449710,1,XXXXXXXX
101,49,Hannah Cox,54,Hearing Aid Cleaning Kit,Hearing Devices and Amplifiers,wallet,8,540.0,2024-07-04T05:07:59.000-07:00,Netherlands,Eindhoven,www.safeway.com/pharmacy,21494387,1,payment successful
102,34,Jack Edwards,51,Hearing Aid,Hearing Devices and Amplifiers,wallet,5,510.0,2024-10-06T05:55:45.000-07:00,Australia,Perth,www.expresspharmacy.co.uk,46095543,1,payment successful
103,12,Ethan Clark,131,Ankle Support,Supports and Braces,wallet,7,12.99,2024-12-17T03:33:38.000-08:00,Canada,Vancouver,www.1mg.com,61612223,1,payment successful
104,29,Aria Turner,32,Foot Powder,Foot Care,card,9,5.99,2024-04-10T23:58:13.000-07:00,Netherlands,Utrecht,www.expresspharmacy.co.uk,96860964,1,payment successful
105,40,Logan Reed,120,Nicotine Patches,Stop Smoking,card,3,29.99,2024-12-29T15:31:33.000-08:00,Japan,Nagoya,www.safeway.com/pharmacy,17419490,1,payment successful
106,44,Jackson Murphy,106,Antibiotic Ointment,First Aid,wallet,1,6.99,2024-12-15T15:46:50.000-08:00,Australia,Adelaide,www.chemistdirect.co.uk,22456888,1,payment successful
107,3,Alice Johnson,80,Shower Gel,Bath and Body,card,5,4.99,2024-05-09T02:44:32.000-07:00,United Kingdom,London,www.walgreens.com,59125467,1,payment successful
108,11,Mia Harris,80,Shower Gel,Bath and Body,wallet,6,4.99,2024-12-04T13:25:42.000-08:00,United States of America,Los Angeles,www.walgreens.com,40804751,1,payment successful
109,45,Avery Bailey,9,Contact Lens Disinfecting Solution,Eye Care,card,4,22.99,2024-12-20T08:23:32.000-08:00,Germany,Cologne,www.alldaychemist.com,66658605,1,payment successful
110,39,Zoe Rogers,26,Hair Serum,Hair Care,card,8,9.99,2024-12-07T20:40:54.000-08:00,Netherlands,The Hague,www.healthmart.com,82231230,1,payment successful
111,50,Gabriel Howard,87,Cold Medicine,"Cough, Cold, and Flu",card,7,7.99,2024-05-28T02:11:21.000-07:00,Japan,Fukuoka,www.walmart.com/pharmacy,63177807,1,payment successful
112,6,David Wilson,108,Digestive Enzymes,Digestive Health and Nausea,card,9,14.99,2024-03-11T09:11:12.000-07:00,France,Paris,www.riteaid.com,20994212,1,payment successful
113,44,Jackson Murphy,105,Hydrocortisone Cream,First Aid,card,9,5.99,2024-12-15T03:33:47.000-08:00,Australia,Adelaide,www.medicalnewstoday.com/pharmacy,98225765,1,payment successful
114,29,Aria Turner,55,Hearing Aid Domes,Hearing Devices and Amplifiers,internet banking,6,550.0,2024-11-27T20:10:34.000-08:00,Netherlands,Utrecht,www.alldaychemist.com,35390970,1,payment successful
115,6,David Wilson,127,Insulin Syringes,Diabetes Management,wallet,1,19.99,2024-11-12T18:17:11.000-08:00,France,Paris,www.walgreens.com,64039348,1,payment successful
116,18,William King,95,Vapor Inhaler,"Cough, Cold, and Flu",card,7,4.49,2024-10-16T04:00:33.000-07:00,Italy,Milan,www.cvs.com,79975265,1,payment successful
117,44,Jackson Murphy,44,Beard Oil,Shaving and Grooming,card,9,6.99,2024-03-07T05:14:00.000-08:00,Australia,Adelaide,www.cvs.com,12523725,1,payment successful
118,36,Samuel Stewart,84,Ear Wax Removal Kit,"Ear, Nose, and Throat Care",upi,4,12.99,2024-06-07T14:11:24.000-07:00,France,Toulouse,www.cvs.com,56062276,1,payment successful
119,19,Amelia Scott,53,Hearing Aid Batteries,Hearing Devices and Amplifiers,wallet,1,530.0,2024-04-20T05:05:14.000-07:00,Netherlands,Rotterdam,www.safeway.com/pharmacy,17820992,1,payment successful
120,39,Zoe Rogers,61,Sunscreen Lotion,Sun Care,wallet,3,15.99,2024-04-25T22:48:27.000-07:00,Netherlands,The Hague,www.medicalnewstoday.com/pharmacy,54417041,1,payment successful
121,35,Chloe Collins,62,After Sun Gel,Sun Care,card,9,12.99,2024-06-10T12:44:04.000-07:00,Germany,Hamburg,www.goodrx.com,24839473,1,payment successful
122,37,Lily Sanchez,59,Hearing Aid Clips,Hearing Devices and Amplifiers,wallet,7,590.0,2024-08-01T04:03:50.000-07:00,Spain,Valencia,www.walgreens.com,94459950,0,payment method not accepted at merchant
123,3,Alice Johnson,101,Adhesive Bandages,First Aid,card,2,3.99,2024-07-02T15:24:28.000-07:00,United Kingdom,London,www.medicalnewstoday.com/pharmacy,88842351,1,payment successful
124,12,Ethan Clark,92,Throat Spray,"Cough, Cold, and Flu",wallet,6,4.99,2024-04-30T05:44:15.000-07:00,Canada,Vancouver,www.1mg.com,64876137,1,payment successful
125,34,Jack Edwards,50,Mustache Wax,Shaving and Grooming,card,4,5.49,2024-04-10T16:34:21.000-07:00,Australia,Perth,www.walmart.com/pharmacy,72969535,0,payment method not accepted at merchant
126,9,Olivia Thomas,22,Conditioner,Hair Care,internet banking,6,6.99,2024-04-25T15:55:45.000-07:00,Netherlands,Amsterdam,www.pillpack.com,77922972,1,payment successful
127,17,Charlotte Young,88,Flu Relief Tablets,"Cough, Cold, and Flu",wallet,2,9.99,2024-07-03T13:10:52.000-07:00,Spain,Barcelona,www.chemistwarehouse.com.au,31365909,1,payment successful
128,14,Liam Walker,67,Incontinence Pads,Incontinence,card,1,8.99,2024-08-22T20:45:50.000-07:00,Australia,Melbourne,www.walgreens.com,31863110,1,payment successful
129,25,Grace Carter,140,Toe Separator,Supports and Braces,card,5,4.99,2024-09-26T10:56:30.000-07:00,Germany,Frankfurt,www.drugstore.com,66625966,1,payment successful
130,5,Emily Davis,50,Mustache Wax,Shaving and Grooming,wallet,8,5.49,2024-10-14T20:28:06.000-07:00,Germany,Berlin,www.chemistwarehouse.com.au,34009600,1,payment successful
131,24,Daniel Nelson,73,Panty Liners,Feminine Care,internet banking,6,4.99,2024-05-23T18:31:37.000-07:00,Australia,Brisbane,www.walgreens.com,62669406,1,payment successful
132,6,David Wilson,49,Pre-Shave Oil,Shaving and Grooming,wallet,1,8.99,2024-02-20T07:00:33.000-08:00,France,Paris,www.alldaychemist.com,54231958,1,payment successful
133,23,Evelyn Gonzalez,20,Interdental Brushes,Oral Care,card,5,4.49,2024-08-20T17:53:56.000-07:00,United Kingdom,Birmingham,www.1mg.com,86993942,1,payment successful
134,23,Evelyn Gonzalez,96,Pain Relief Cream,Pain Relief and Management,card,7,12.99,2024-04-18T05:31:04.000-07:00,United Kingdom,Birmingham,www.cvs.com,65348128,1,payment successful
135,4,Michael Brown,142,Arch Support,Supports and Braces,internet banking,2,6.99,2024-12-12T08:51:00.000-08:00,Australia,Sydney,www.safeway.com/pharmacy,21251157,1,payment successful
136,17,Charlotte Young,138,Calf Support,Supports and Braces,wallet,7,9.99,2024-06-29T10:31:39.000-07:00,Spain,Barcelona,www.riteaid.com,52737905,1,payment successful
137,24,Daniel Nelson,18,Tongue Cleaner,Oral Care,wallet,6,2.49,2024-12-10T12:12:17.000-08:00,Australia,Brisbane,www.mysmartpharmacy.com,81681566,1,payment successful
138,36,Samuel Stewart,47,Beard Trimmer,Shaving and Grooming,wallet,4,19.99,2024-10-14T10:50:54.000-07:00,France,Toulouse,www.cvs.com,48744171,1,payment successful
139,23,Evelyn Gonzalez,143,Plantar Fasciitis Sleeve,Supports and Braces,wallet,1,11.99,2024-05-09T06:39:56.000-07:00,United Kingdom,Birmingham,www.chemistdirect.co.uk,75465982,1,payment successful
140,38,Mason Morris,53,Hearing Aid Batteries,Hearing Devices and Amplifiers,wallet,2,530.0,2024-05-23T04:11:13.000-07:00,Italy,Turin,www.alldaychemist.com,73396517,1,payment successful
141,44,Jackson Murphy,25,Hair Mousse,Hair Care,internet banking,9,8.99,2024-02-07T03:36:10.000-08:00,Australia,Adelaide,www.walmart.com/pharmacy,63186006,1,payment successful
142,6,David Wilson,149,Shoulder Immobilizer,Supports and Braces,wallet,1,18.99,2024-06-23T10:51:50.000-07:00,France,Paris,www.walgreens.com,92054384,1,payment successful
143,45,Avery Bailey,104,First Aid Tape,First Aid,wallet,2,1.99,2024-09-23T07:57:03.000-07:00,Germany,Cologne,www.pharmacytimes.com,80214505,1,payment successful
144,30,Matthew Phillips,28,Hair Mask,Hair Care,wallet,4,12.99,2024-12-28T23:06:13.000-08:00,Japan,Kyoto,www.goodrx.com,35169655,1,payment successful
145,5,Emily Davis,17,Dental Picks,Oral Care,card,5,3.99,2024-11-23T08:01:43.000-08:00,Germany,Berlin,www.cvs.com,41468407,1,payment successful
146,15,Isabella Hall,95,Vapor Inhaler,"Cough, Cold, and Flu",card,9,4.49,2024-03-10T23:19:34.000-07:00,Germany,Munich,www.britishpharmacy.co.uk,63044103,0,insufficient funds
147,50,Gabriel Howard,62,After Sun Gel,Sun Care,wallet,6,12.99,2024-02-15T15:30:11.000-08:00,Japan,Fukuoka,www.alldaychemist.com,56049274,1,payment successful
148,2,Jane Smith,72,Tampons,Feminine Care,card,6,6.99,2024-02-20T09:07:28.000-08:00,Canada,Toronto,www.alldaychemist.com,93958280,1,payment successful
149,46,Dylan Rivera,53,Hearing Aid Batteries,Hearing Devices and Amplifiers,card,3,530.0,2024-12-14T17:59:47.000-08:00,France,Nice,www.walgreens.com,22260020,1,payment successful
